STORE_ID,CITY,REGION,COUNTRY,MANAGER_EMAIL
1,City_0,LATAM,Brazil,latam_lead@company.com
2,Metro_1,North America,USA,north_america_lead@company.com
3,Metro_2,North America,USA,north_america_lead@company.com
4,Metro_3,LATAM,Brazil,latam_lead@company.com
5,City_4,LATAM,Brazil,latam_lead@company.com
6,City_5,APAC,Japan,apac_lead@company.com
7,City_6,LATAM,Brazil,latam_lead@company.com
8,Metro_7,LATAM,Brazil,latam_lead@company.com
9,Metro_8,LATAM,Brazil,latam_lead@company.com
10,Metro_9,APAC,Japan,apac_lead@company.com
11,Metro_10,North America,USA,north_america_lead@company.com
12,Metro_11,LATAM,Brazil,latam_lead@company.com
13,City_12,North America,USA,north_america_lead@company.com
14,City_13,LATAM,Brazil,latam_lead@company.com
15,City_14,North America,USA,north_america_lead@company.com
16,City_15,North America,USA,north_america_lead@company.com
17,Town_16,APAC,Japan,apac_lead@company.com
18,Metro_17,APAC,Japan,apac_lead@company.com
19,Metro_18,APAC,Japan,apac_lead@company.com
20,Metro_19,APAC,Japan,apac_lead@company.com
21,Metro_20,North America,USA,north_america_lead@company.com
22,Metro_21,LATAM,Brazil,latam_lead@company.com
23,Metro_22,EMEA,Germany,emea_lead@company.com
24,Metro_23,North America,USA,north_america_lead@company.com
25,Town_24,APAC,Japan,apac_lead@company.com
26,Town_25,APAC,Japan,apac_lead@company.com
27,City_26,LATAM,Brazil,latam_lead@company.com
28,Town_27,APAC,Japan,apac_lead@company.com
29,Town_28,APAC,Japan,apac_lead@company.com
30,Metro_29,North America,USA,north_america_lead@company.com
31,Metro_30,LATAM,Brazil,latam_lead@company.com
32,City_31,North America,USA,north_america_lead@company.com
33,Town_32,LATAM,Brazil,latam_lead@company.com
34,Metro_33,EMEA,Germany,emea_lead@company.com
35,Metro_34,LATAM,Brazil,latam_lead@company.com
36,City_35,LATAM,Brazil,latam_lead@company.com
37,City_36,EMEA,Germany,emea_lead@company.com
38,Metro_37,LATAM,Brazil,latam_lead@company.com
39,Metro_38,APAC,Japan,apac_lead@company.com
40,Town_39,LATAM,Brazil,latam_lead@company.com
