EXCHANGE_DATE,FROM_CURRENCY,TO_CURRENCY,RATE
2024-01-01,EUR,USD,1.044000
2024-01-01,GBP,USD,1.247000
2024-01-01,JPY,USD,0.006540
2024-01-02,EUR,USD,1.051000
2024-01-02,GBP,USD,1.241000
2024-01-02,JPY,USD,0.006450
2024-01-03,EUR,USD,1.066000
2024-01-03,GBP,USD,1.267000
2024-01-03,JPY,USD,0.006530
2024-01-04,EUR,USD,1.050000
2024-01-04,GBP,USD,1.262000
2024-01-04,JPY,USD,0.006450
2024-01-05,EUR,USD,1.062000
2024-01-05,GBP,USD,1.249000
2024-01-05,JPY,USD,0.006550
2024-01-06,EUR,USD,1.043000
2024-01-06,GBP,USD,1.252000
2024-01-06,JPY,USD,0.006540
2024-01-07,EUR,USD,1.056000
2024-01-07,GBP,USD,1.232000
2024-01-07,JPY,USD,0.006500
2024-01-08,EUR,USD,1.070000
2024-01-08,GBP,USD,1.268000
2024-01-08,JPY,USD,0.006520
2024-01-09,EUR,USD,1.070000
2024-01-09,GBP,USD,1.265000
2024-01-09,JPY,USD,0.006450
2024-01-10,EUR,USD,1.045000
2024-01-10,GBP,USD,1.258000
2024-01-10,JPY,USD,0.006450
2024-01-11,EUR,USD,1.036000
2024-01-11,GBP,USD,1.254000
2024-01-11,JPY,USD,0.006500
2024-01-12,EUR,USD,1.038000
2024-01-12,GBP,USD,1.270000
2024-01-12,JPY,USD,0.006460
2024-01-13,EUR,USD,1.044000
2024-01-13,GBP,USD,1.267000
2024-01-13,JPY,USD,0.006550
2024-01-14,EUR,USD,1.041000
2024-01-14,GBP,USD,1.230000
2024-01-14,JPY,USD,0.006460
2024-01-15,EUR,USD,1.039000
2024-01-15,GBP,USD,1.238000
2024-01-15,JPY,USD,0.006510
2024-01-16,EUR,USD,1.064000
2024-01-16,GBP,USD,1.234000
2024-01-16,JPY,USD,0.006450
2024-01-17,EUR,USD,1.060000
2024-01-17,GBP,USD,1.249000
2024-01-17,JPY,USD,0.006480
2024-01-18,EUR,USD,1.054000
2024-01-18,GBP,USD,1.266000
2024-01-18,JPY,USD,0.006470
2024-01-19,EUR,USD,1.039000
2024-01-19,GBP,USD,1.247000
2024-01-19,JPY,USD,0.006480
2024-01-20,EUR,USD,1.069000
2024-01-20,GBP,USD,1.255000
2024-01-20,JPY,USD,0.006490
2024-01-21,EUR,USD,1.050000
2024-01-21,GBP,USD,1.244000
2024-01-21,JPY,USD,0.006490
2024-01-22,EUR,USD,1.069000
2024-01-22,GBP,USD,1.237000
2024-01-22,JPY,USD,0.006470
2024-01-23,EUR,USD,1.070000
2024-01-23,GBP,USD,1.265000
2024-01-23,JPY,USD,0.006500
2024-01-24,EUR,USD,1.066000
2024-01-24,GBP,USD,1.254000
2024-01-24,JPY,USD,0.006500
2024-01-25,EUR,USD,1.063000
2024-01-25,GBP,USD,1.263000
2024-01-25,JPY,USD,0.006510
2024-01-26,EUR,USD,1.039000
2024-01-26,GBP,USD,1.265000
2024-01-26,JPY,USD,0.006480
2024-01-27,EUR,USD,1.045000
2024-01-27,GBP,USD,1.254000
2024-01-27,JPY,USD,0.006450
2024-01-28,EUR,USD,1.046000
2024-01-28,GBP,USD,1.230000
2024-01-28,JPY,USD,0.006490
2024-01-29,EUR,USD,1.037000
2024-01-29,GBP,USD,1.270000
2024-01-29,JPY,USD,0.006520
2024-01-30,EUR,USD,1.054000
2024-01-30,GBP,USD,1.267000
2024-01-30,JPY,USD,0.006460
2024-01-31,EUR,USD,1.050000
2024-01-31,GBP,USD,1.253000
2024-01-31,JPY,USD,0.006450
2024-02-01,EUR,USD,1.042000
2024-02-01,GBP,USD,1.249000
2024-02-01,JPY,USD,0.006490
2024-02-02,EUR,USD,1.059000
2024-02-02,GBP,USD,1.263000
2024-02-02,JPY,USD,0.006520
2024-02-03,EUR,USD,1.039000
2024-02-03,GBP,USD,1.231000
2024-02-03,JPY,USD,0.006520
2024-02-04,EUR,USD,1.067000
2024-02-04,GBP,USD,1.237000
2024-02-04,JPY,USD,0.006540
2024-02-05,EUR,USD,1.060000
2024-02-05,GBP,USD,1.230000
2024-02-05,JPY,USD,0.006480
2024-02-06,EUR,USD,1.053000
2024-02-06,GBP,USD,1.237000
2024-02-06,JPY,USD,0.006550
2024-02-07,EUR,USD,1.041000
2024-02-07,GBP,USD,1.264000
2024-02-07,JPY,USD,0.006520
2024-02-08,EUR,USD,1.063000
2024-02-08,GBP,USD,1.266000
2024-02-08,JPY,USD,0.006540
2024-02-09,EUR,USD,1.069000
2024-02-09,GBP,USD,1.258000
2024-02-09,JPY,USD,0.006460
2024-02-10,EUR,USD,1.056000
2024-02-10,GBP,USD,1.234000
2024-02-10,JPY,USD,0.006460
2024-02-11,EUR,USD,1.069000
2024-02-11,GBP,USD,1.263000
2024-02-11,JPY,USD,0.006480
2024-02-12,EUR,USD,1.044000
2024-02-12,GBP,USD,1.261000
2024-02-12,JPY,USD,0.006470
2024-02-13,EUR,USD,1.064000
2024-02-13,GBP,USD,1.237000
2024-02-13,JPY,USD,0.006450
2024-02-14,EUR,USD,1.059000
2024-02-14,GBP,USD,1.248000
2024-02-14,JPY,USD,0.006470
2024-02-15,EUR,USD,1.037000
2024-02-15,GBP,USD,1.248000
2024-02-15,JPY,USD,0.006510
2024-02-16,EUR,USD,1.042000
2024-02-16,GBP,USD,1.235000
2024-02-16,JPY,USD,0.006530
2024-02-17,EUR,USD,1.066000
2024-02-17,GBP,USD,1.267000
2024-02-17,JPY,USD,0.006530
2024-02-18,EUR,USD,1.068000
2024-02-18,GBP,USD,1.262000
2024-02-18,JPY,USD,0.006480
